,hp,chp,boiler,pv,supply_config,hr_mode,T_dhw_sp,hwt_volume,costs,co2
89,Air_40kW,150000.0,400000.0,75000,3-runner,on,65,15000,3728636.0,516.8
90,Air_30kW,150000.0,0.0,50000,3-runner,on,55,10000,3591587.0,217.3
91,Air_60kW,0.0,400000.0,25000,2-runner,off,55,20000,2959232.0,253.6
92,Air_40kW,0.0,400000.0,75000,2-runner,off,55,15000,3010503.0,205.2
93,Air_30kW,150000.0,0.0,50000,2-runner,on,55,20000,3191327.0,209.3
94,Air_40kW,150000.0,0.0,50000,3-runner,on,65,10000,3615610.0,504.3
95,Air_40kW,50000.0,0.0,25000,2-runner,on,65,10000,2969898.0,258.1
96,Air_30kW,0.0,300000.0,25000,2-runner,off,55,10000,2917154.0,217.1
97,Air_30kW,0.0,300000.0,75000,2-runner,on,65,20000,2982592.0,200.7
98,Air_30kW,0.0,300000.0,75000,3-runner,on,65,10000,3382631.0,205.7
99,Air_30kW,100000.0,0.0,75000,3-runner,off,55,20000,3522425.0,241.7
100,Air_30kW,150000.0,300000.0,25000,2-runner,off,65,10000,3218245.0,504.9
101,Air_40kW,0.0,400000.0,75000,3-runner,off,65,10000,3410791.0,215.4
102,Air_40kW,100000.0,400000.0,75000,2-runner,off,65,20000,3212282.0,386.8
103,Air_40kW,50000.0,0.0,75000,3-runner,off,55,10000,,
104,Air_30kW,0.0,300000.0,25000,3-runner,on,55,10000,3316966.0,200.4
105,Air_30kW,100000.0,0.0,75000,3-runner,on,65,20000,3534805.0,404.5
106,Air_40kW,0.0,300000.0,25000,3-runner,on,65,10000,3324680.0,198.7
107,Air_40kW,100000.0,0.0,25000,2-runner,off,65,20000,3066698.0,385.5
108,Air_40kW,100000.0,0.0,75000,2-runner,off,55,20000,3129926.0,235.7
109,Air_40kW,100000.0,400000.0,75000,3-runner,off,55,20000,3609946.0,239.6
110,Air_40kW,150000.0,200000.0,25000,3-runner,on,55,10000,3606528.0,212.3
111,Air_40kW,50000.0,300000.0,75000,2-runner,on,65,10000,3095598.0,267.6
112,Air_30kW,0.0,400000.0,75000,2-runner,on,55,10000,3002456.0,195.6
113,Air_30kW,0.0,400000.0,75000,2-runner,off,65,10000,3003289.0,215.3
114,Air_30kW,150000.0,0.0,25000,3-runner,off,65,20000,3557782.0,516.5
115,Air_30kW,150000.0,400000.0,25000,2-runner,on,55,10000,3238531.0,206.9
116,Air_30kW,150000.0,400000.0,25000,3-runner,off,65,10000,3638173.0,517.4
117,Air_30kW,150000.0,400000.0,25000,3-runner,off,55,10000,3636140.0,238.4
118,Air_30kW,150000.0,400000.0,75000,2-runner,off,55,10000,3301714.0,238.1
119,Air_30kW,150000.0,400000.0,75000,2-runner,off,55,20000,3301740.0,242.0
120,Air_30kW,150000.0,400000.0,75000,3-runner,on,55,10000,3704368.0,218.0
121,Air_60kW,0.0,400000.0,50000,2-runner,on,60,15000,2991844.0,239.3
122,Air_40kW,0.0,200000.0,25000,2-runner,on,65,20000,2904648.0,186.2
123,Air_40kW,0.0,200000.0,25000,2-runner,off,65,10000,2905086.0,194.3
124,Air_40kW,0.0,400000.0,25000,2-runner,on,55,10000,2944423.0,185.2
125,Air_40kW,0.0,400000.0,25000,3-runner,off,55,20000,3344818.0,209.7
126,Air_40kW,100000.0,0.0,75000,3-runner,on,55,20000,3531758.0,208.5
127,Air_40kW,150000.0,0.0,75000,2-runner,on,65,20000,3248637.0,496.8
128,Air_40kW,150000.0,0.0,75000,2-runner,off,65,10000,3230362.0,490.4
129,Air_40kW,150000.0,0.0,75000,3-runner,off,65,20000,3630197.0,509.6
130,Air_40kW,150000.0,400000.0,25000,2-runner,off,55,20000,3243584.0,234.2
131,Air_40kW,150000.0,400000.0,25000,3-runner,on,55,20000,3646516.0,213.6
132,Air_40kW,150000.0,400000.0,75000,2-runner,on,55,10000,3311823.0,198.4
133,Air_60kW,100000.0,200000.0,50000,3-runner,off,60,15000,3552223.0,269.2
134,Air_30kW,0.0,400000.0,75000,3-runner,on,65,20000,3402605.0,206.5
