Time,AirTemperature,WindSpeed,GlobalRadiation,DirectNormalRad,DiffRadiation
21.01. 12:00,1,5.7,218,251,253
21.01. 13:00,1,5.1,185,189,276
21.01. 14:00,1,6.2,116,105,280
21.01. 15:00,1,4.1,68,206,284
21.01. 16:00,1,4.6,20,0,290
21.01. 17:00,1,4.6,0,0,252
21.01. 18:00,0,3.6,0,0,262
21.01. 19:00,0,4.1,0,0,257
21.01. 20:00,0,3.1,0,0,262
21.01. 21:00,0,3.1,0,0,274
21.01. 22:00,0,4.1,0,0,251
21.01. 23:00,0,3.1,0,0,249
22.01. 00:00,-0.2,2.9,0,0,244
22.01. 01:00,-0.4,2.7,0,0,248
22.01. 02:00,-0.6,2.5,0,0,243
22.01. 03:00,-0.8,2.3,0,0,252
22.01. 04:00,-1,2.1,0,0,262
22.01. 05:00,-1,2.6,0,0,244
22.01. 06:00,-1,3.1,0,0,248
22.01. 07:00,0,4.1,0,0,262
22.01. 08:00,-1,3.6,71,209,216
22.01. 09:00,0,4.1,172,483,215
22.01. 10:00,0,4.6,252,537,215
22.01. 11:00,1,5.1,234,307,215
22.01. 12:00,0,4.6,181,96,227
22.01. 13:00,2,4.6,155,87,286
22.01. 14:00,1,5.7,128,147,280
22.01. 15:00,1,4.1,83,265,279
22.01. 16:00,1,3.6,23,153,256
22.01. 17:00,-1,4.1,0,0,219
22.01. 18:00,-1,2.6,0,0,220
22.01. 19:00,-3,3.1,0,0,230
22.01. 20:00,-3,3.6,0,0,222
22.01. 21:00,-4,2.6,0,0,218
22.01. 22:00,-3,3.1,0,0,209
22.01. 23:00,-4,0.5,0,0,210
23.01. 00:00,-4.2,1.2,0,0,205
23.01. 01:00,-4.4,1.9,0,0,206
23.01. 02:00,-4.6,2.7,0,0,206
23.01. 03:00,-4.8,3.4,0,0,206
23.01. 04:00,-5,4.1,0,0,210
23.01. 05:00,-5,1,0,0,210
23.01. 06:00,-6,1.5,0,0,213
23.01. 07:00,-6,2.1,0,0,220
23.01. 08:00,-7,1.5,50,83,217
23.01. 09:00,-5,1,107,215,234
23.01. 10:00,-4,0.5,159,272,253
23.01. 11:00,-3,1,177,246,257
23.01. 12:00,-2,1,156,180,270
23.01. 13:00,-2,0.5,133,151,275
23.01. 14:00,-2,1,106,172,277
23.01. 15:00,-1,1,56,132,288
23.01. 16:00,-1,0.5,12,37,281
23.01. 17:00,-1,1.5,0,0,267
23.01. 18:00,-1,0.5,0,0,294
23.01. 19:00,-1,1,0,0,280
23.01. 20:00,-2,1,0,0,296
23.01. 21:00,-1,2.6,0,0,290
23.01. 22:00,-1,2.4,0,0,301
23.01. 23:00,-1,2.3,0,0,301
24.01. 00:00,-1,2.1,0,0,298
24.01. 01:00,-1,2.2,0,0,304
24.01. 02:00,-1,2.3,0,0,304
24.01. 03:00,-1,2.5,0,0,302
24.01. 04:00,-1,2.6,0,0,305
24.01. 05:00,-1,2.6,0,0,306
24.01. 06:00,-1,3.6,0,0,303
24.01. 07:00,-1,3.6,0,0,307
24.01. 08:00,-1,4.1,25,21,301
24.01. 09:00,-1,3.6,64,56,302
24.01. 10:00,0,3.6,96,44,301
24.01. 11:00,0,4.6,112,21,305
24.01. 12:00,1,5.1,123,27,310
24.01. 13:00,1,4.6,112,30,303
24.01. 14:00,1,4.1,72,19,313
24.01. 15:00,1,3.1,32,14,312
24.01. 16:00,1,3.1,8,10,314
24.01. 17:00,1,2.6,0,0,300
24.01. 18:00,1,1.5,0,0,312
24.01. 19:00,1,2.1,0,0,310
24.01. 20:00,1,2.6,0,0,306
24.01. 21:00,1,3.1,0,0,294
24.01. 22:00,1,3.1,0,0,306
24.01. 23:00,1,2.8,0,0,298
25.01. 00:00,1,2.6,0,0,298
25.01. 01:00,1,2.6,0,0,300
25.01. 02:00,1,2.9,0,0,308
