date,ControllerSim-0.Controller_0-tes0_heat_out_F,ControllerSim-0.Controller_0-tes0_heat_in_F,ControllerSim-0.Controller_0-tes0_hp_out_F,ControllerSim-0.Controller_0-hp_in_F,ControllerSim-0.Controller_0-tes1_hp_out_F
2022-10-12 05:30:00,-0.19870325822061813,0.19870325822061813,-0.0,0.0,0.19870325822061813
2022-10-12 05:45:00,-0.246261427791788,0.246261427791788,-0.0,0.0,0.246261427791788
2022-10-12 06:00:00,-0.2958265252410568,0.2958265252410568,-0.0,0.0,0.2958265252410568
2022-10-12 06:15:00,-0.2937909190992136,0.2937909190992136,-0.0,0.0,0.2937909190992136
2022-10-12 06:30:00,-0.2923072259289252,0.2923072259289252,-0.0,0.0,0.2923072259289252
2022-10-12 06:45:00,-0.2912531722975979,0.2912531722975979,-0.0,0.0,0.2912531722975979
2022-10-12 07:00:00,-0.2905698427603485,0.2905698427603485,-0.0,0.0,0.2905698427603485
2022-10-12 07:15:00,-0.2784399843627008,0.2784399843627008,-0.0,0.0,0.2784399843627008
2022-10-12 07:30:00,-0.26541742293894166,0.26541742293894166,-0.0,0.0,0.26541742293894166
2022-10-12 07:45:00,-0.25127060019535236,0.25127060019535236,-0.0,0.0,0.25127060019535236
2022-10-12 08:00:00,-0.23579862606141755,0.23579862606141755,-0.0,0.0,0.23579862606141755
2022-10-12 08:15:00,-0.23784141501395137,0.23784141501395137,-0.0,0.0,0.23784141501395137
2022-10-12 08:30:00,-0.2402468417622115,0.2402468417622115,-0.0,0.0,0.2402468417622115
2022-10-12 08:45:00,3.112424945574257,0.24305684512574266,-3.3554817907,3.3554817907,-3.112424945574257
2022-10-12 09:00:00,3.165660902488966,0.1898208882110336,-3.3554817907,3.3554817907,-3.165660902488966
2022-10-12 09:15:00,-0.18016338580758084,0.18016338580758084,-0.0,0.0,0.18016338580758084
2022-10-12 09:30:00,-0.1746631598869828,0.1746631598869828,-0.0,0.0,0.1746631598869828
2022-10-12 09:45:00,-0.16919419313598064,0.16919419313598064,-0.0,0.0,0.16919419313598064
2022-10-12 10:00:00,-0.16364573394581905,0.16364573394581905,-0.0,0.0,0.16364573394581905
2022-10-12 10:15:00,-0.16380596153490556,0.16380596153490556,-0.0,0.0,0.16380596153490556
2022-10-12 10:30:00,-0.1640295600659512,0.1640295600659512,-0.0,0.0,0.1640295600659512
2022-10-12 10:45:00,-0.16433702309060783,0.16433702309060783,-0.0,0.0,0.16433702309060783
2022-10-12 11:00:00,-0.16473282184809618,0.16473282184809618,-0.0,0.0,0.16473282184809618
2022-10-12 11:15:00,-0.16116565717519815,0.16116565717519815,-0.0,0.0,0.16116565717519815
2022-10-12 11:30:00,-0.15757052945540162,0.15757052945540162,-0.0,0.0,0.15757052945540162
2022-10-12 11:45:00,-0.15392574553098065,0.15392574553098065,-0.0,0.0,0.15392574553098065
2022-10-12 12:00:00,-0.15021679233449378,0.15021679233449378,-0.0,0.0,0.15021679233449378
2022-10-12 12:15:00,-0.15279277195900035,0.15279277195900035,-0.0,0.0,0.15279277195900035
2022-10-12 12:30:00,-0.15549979225723654,0.15549979225723654,-0.0,0.0,0.15549979225723654
2022-10-12 12:45:00,-0.1583611280662069,0.1583611280662069,-0.0,0.0,0.1583611280662069
2022-10-12 13:00:00,-0.16138862770707374,0.16138862770707374,-0.0,0.0,0.16138862770707374
2022-10-12 13:15:00,-0.16363386874591263,0.16363386874591263,-0.0,0.0,0.16363386874591263
2022-10-12 13:30:00,-0.1660295042380755,0.1660295042380755,-0.0,0.0,0.1660295042380755
2022-10-12 13:45:00,-0.16858378261537352,0.16858378261537352,-0.0,0.0,0.16858378261537352
2022-10-12 14:00:00,-0.1713078589447633,0.1713078589447633,-0.0,0.0,0.1713078589447633
2022-10-12 14:15:00,-0.17392838167817498,0.17392838167817498,-0.0,0.0,0.17392838167817498
2022-10-12 14:30:00,-0.1766435527584582,0.1766435527584582,-0.0,0.0,0.1766435527584582
2022-10-12 14:45:00,-0.1543207442587948,0.1543207442587948,-0.0,0.0,0.1543207442587948
2022-10-12 15:00:00,-0.14859952691044342,0.14859952691044342,-0.0,0.0,0.14859952691044342
2022-10-12 15:15:00,-0.14641516691837153,0.14641516691837153,-0.0,0.0,0.14641516691837153
2022-10-12 15:30:00,-0.14819918401390386,0.14819918401390386,-0.0,0.0,0.14819918401390386
2022-10-12 15:45:00,-0.1504317770741541,0.1504317770741541,-0.0,0.0,0.1504317770741541
